"","site_name","New_taxon","taxon_site","year_trt","trt","max_cover","block","new_max_cover"
"82","Agroscope Changins","Arrhenatherum_elatius","Arrhenatherum_elatius_Agroscope Changins","0","NPK",0.1,1,0.001
"83","Agroscope Changins","Arrhenatherum_elatius","Arrhenatherum_elatius_Agroscope Changins","0","NPK",1,2,0.01
"84","Agroscope Changins","Arrhenatherum_elatius","Arrhenatherum_elatius_Agroscope Changins","0","NPK",0.5,4,0.005
"85","Agroscope Changins","Arrhenatherum_elatius","Arrhenatherum_elatius_Agroscope Changins","0","NPK+Disturbance",1,2,0.01
"86","Agroscope Changins","Arrhenatherum_elatius","Arrhenatherum_elatius_Agroscope Changins","0","NPK+Disturbance",1,4,0.01
"87","Agroscope Changins","Arrhenatherum_elatius","Arrhenatherum_elatius_Agroscope Changins","1","Control",0,3,0
"88","Agroscope Changins","Arrhenatherum_elatius","Arrhenatherum_elatius_Agroscope Changins","1","Disturbance",2,1,0.02
"89","Agroscope Changins","Arrhenatherum_elatius","Arrhenatherum_elatius_Agroscope Changins","1","Disturbance",2,2,0.02
"90","Agroscope Changins","Arrhenatherum_elatius","Arrhenatherum_elatius_Agroscope Changins","1","Disturbance",1,3,0.01
"91","Agroscope Changins","Arrhenatherum_elatius","Arrhenatherum_elatius_Agroscope Changins","1","Disturbance",0.5,4,0.005
"92","Agroscope Changins","Arrhenatherum_elatius","Arrhenatherum_elatius_Agroscope Changins","1","NPK",1,1,0.01
"93","Agroscope Changins","Arrhenatherum_elatius","Arrhenatherum_elatius_Agroscope Changins","1","NPK",1,2,0.01
"94","Agroscope Changins","Arrhenatherum_elatius","Arrhenatherum_elatius_Agroscope Changins","1","NPK",0.5,4,0.005
"95","Agroscope Changins","Arrhenatherum_elatius","Arrhenatherum_elatius_Agroscope Changins","1","NPK+Disturbance",1,2,0.01
"96","Agroscope Changins","Arrhenatherum_elatius","Arrhenatherum_elatius_Agroscope Changins","1","NPK+Disturbance",0.5,4,0.005
"97","Agroscope Changins","Bromus_hordeaceus","Bromus_hordeaceus_Agroscope Changins","0","Control",0.1,1,0.001
"98","Agroscope Changins","Bromus_hordeaceus","Bromus_hordeaceus_Agroscope Changins","0","Control",0.1,3,0.001
"99","Agroscope Changins","Bromus_hordeaceus","Bromus_hordeaceus_Agroscope Changins","0","Control",0.1,4,0.001
"100","Agroscope Changins","Bromus_hordeaceus","Bromus_hordeaceus_Agroscope Changins","1","Control",0,1,0
"101","Agroscope Changins","Bromus_hordeaceus","Bromus_hordeaceus_Agroscope Changins","1","Control",0,3,0
"102","Agroscope Changins","Bromus_hordeaceus","Bromus_hordeaceus_Agroscope Changins","1","Control",0,4,0
"103","Agroscope Changins","Centaurea_jacea","Centaurea_jacea_Agroscope Changins","0","Control",0,1,0
"104","Agroscope Changins","Centaurea_jacea","Centaurea_jacea_Agroscope Changins","0","Control",0.1,2,0.001
"105","Agroscope Changins","Centaurea_jacea","Centaurea_jacea_Agroscope Changins","0","Control",2,4,0.02
"106","Agroscope Changins","Centaurea_jacea","Centaurea_jacea_Agroscope Changins","0","Disturbance",1,1,0.01
"107","Agroscope Changins","Centaurea_jacea","Centaurea_jacea_Agroscope Changins","0","Disturbance",4,2,0.04
"108","Agroscope Changins","Centaurea_jacea","Centaurea_jacea_Agroscope Changins","0","Disturbance",0.5,3,0.005
"109","Agroscope Changins","Centaurea_jacea","Centaurea_jacea_Agroscope Changins","0","Disturbance",9,4,0.09
"110","Agroscope Changins","Centaurea_jacea","Centaurea_jacea_Agroscope Changins","0","NPK",5,1,0.05
"111","Agroscope Changins","Centaurea_jacea","Centaurea_jacea_Agroscope Changins","0","NPK",3,2,0.03
"112","Agroscope Changins","Centaurea_jacea","Centaurea_jacea_Agroscope Changins","0","NPK",0,3,0
"113","Agroscope Changins","Centaurea_jacea","Centaurea_jacea_Agroscope Changins","0","NPK",7,4,0.07
"114","Agroscope Changins","Centaurea_jacea","Centaurea_jacea_Agroscope Changins","0","NPK+Disturbance",2,2,0.02
"115","Agroscope Changins","Centaurea_jacea","Centaurea_jacea_Agroscope Changins","0","NPK+Disturbance",0.1,4,0.001
"116","Agroscope Changins","Centaurea_jacea","Centaurea_jacea_Agroscope Changins","1","Control",1,1,0.01
"117","Agroscope Changins","Centaurea_jacea","Centaurea_jacea_Agroscope Changins","1","Control",4,2,0.04
"118","Agroscope Changins","Centaurea_jacea","Centaurea_jacea_Agroscope Changins","1","Control",6,4,0.06
